Year,WGDP,WGDP_billions,IMFLending_billions,IMF/WGDP
2022,,,109.0238196,
2021,9.61001E+13,96100.09,104.0293757,0.00108
2020,8.49068E+13,84906.81,105.890447,0.00125
2019,8.76529E+13,87652.86,73.53634532,0.00084
2018,8.6413E+13,86413.03,61.82179242,0.00072
2017,8.1404E+13,81403.98,46.10766654,0.00057
2016,7.64656E+13,76465.59,55.75027879,0.00073
2015,7.51793E+13,75179.27,57.3337519,0.00076
2014,7.97088E+13,79708.81,75.33431905,0.00095
2013,7.76072E+13,77607.20,90.07364174,0.00116
2012,7.54881E+13,75488.06,95.80864076,0.00127
2011,7.38538E+13,73853.78,92.58552538,0.00125
2010,6.65961E+13,66596.05,60.43944864,0.00091
2009,6.08091E+13,60809.11,42.30084772,0.00070
2008,6.41237E+13,64123.70,21.48733675,0.00034
2007,5.8355E+13,58355.02,9.833092338,0.00017
2006,5.17798E+13,51779.85,13.66666076,0.00026
2005,4.77797E+13,47779.71,34.71426491,0.00073
2004,4.41176E+13,44117.60,62.13979603,0.00141
2003,3.9147E+13,39146.99,71.91295598,0.00184
2002,3.49114E+13,34911.43,70.46972981,0.00202
2001,3.36154E+13,33615.44,59.90180409,0.00178
2000,3.38309E+13,33830.88,49.32212652,0.00146
1999,3.27374E+13,32737.37,57.49613624,0.00176
1998,3.154E+13,31539.96,66.73984298,0.00212
1997,3.16204E+13,31620.44,52.56890121,0.00166
1996,3.17367E+13,31736.66,42.00908256,0.00132
1995,3.10436E+13,31043.65,41.58661194,0.00134
1994,2.78723E+13,27872.26,30.21144545,0.00108
1993,2.5822E+13,25821.98,29.13953793,0.00113
1992,2.54061E+13,25406.11,27.77163651,0.00109
1991,2.37596E+13,23759.57,26.66429172,0.00112
1990,2.278E+13,22779.98,23.30376271,0.00102
1989,2.0194E+13,20194.00,24.64999079,0.00122
1988,1.9338E+13,19338.00,26.52396918,0.00137
1987,1.73072E+13,17307.24,30.61832206,0.00177
1986,1.52053E+13,15205.32,35.34807558,0.00232
1985,1.28601E+13,12860.09,37.6650352,0.00293
1984,1.22698E+13,12269.79,37.70664729,0.00307
