Country Name,Country Code,YR2014
Armenia,ARM,9.879704862
Austria,AUT,12.96717074
Azerbaijan,AZE,11.61316277
Belarus,BLR,6.472861933
Belgium,BEL,9.542815325
Bulgaria,BGR,7.110316137
Croatia,HRV,11.76340933
Cyprus,CYP,12.99790589
Denmark,DNK,16.6754468
Estonia,EST,6.302608895
European Union,EUU,11.86997973
Finland,FIN,6.720585513
France,FRA,10.97104773
Georgia,GEO,9.8075188
Germany,DEU,12.43868891
Greece,GRC,12.53594249
Hungary,HUN,11.10381944
Iceland,ISL,2.567350948
Ireland,IRL,18.63828961
Israel,ISR,12.4402198
Italy,ITA,14.99072841
Latvia,LVA,10.94052107
Lithuania,LTU,11.80612625
Luxembourg,LUX,15.34683684
Malta,MLT,19.27810075
Netherlands,NLD,11.38202416
North Macedonia,MKD,10.58963985
Norway,NOR,11.77568912
Poland,POL,10.299763
Portugal,PRT,14.12743276
Romania,ROU,12.97863481
Russia,RUS,5.294171485
Serbia,SRB,7.883915114
Spain,ESP,13.60268562
Sweden,SWE,9.500710345
Switzerland,CHE,20.94912925
Turkiye,TUR,15.30734424
Ukraine,UKR,4.371436348
United Kingdom,GBR,14.97153278
