,Country,Total electricity consumption per year,Population,Average consumption per year per capita in kWh
0,China,8312800,1412600000,5885.0
1,United States,3989566,328200000,12154.0
2,India,1052346,1384660000,747.0
3,Russia,965156,146700000,6685.0
4,Japan,902842,126860000,7150.0
5,Brazil,597234,210000000,2830.0
6,Canada,549263,37534000,14612.0
7,"Korea, South",527035,51710000,10192.0
8,Germany,524268,83200000,6306.0
9,France,449422,66980000,6702.0
10,Saudi Arabia,322372,33413000,9407.0
11,Indonesia,307566,273879750,1123.0
12,United Kingdom,300520,66800000,4496.0
13,Italy,297150,60244000,4928.0
14,Mexico,267910,127580000,2100.0
15,Iran,254724,82913910,3072.0
16,Turkey,251376,83429620,3013.0
17,Spain,241563,47076780,5131.0
18,Australia,241020,25364310,9502.0
19,Taiwan,237557,23775000,9992.0
20,Vietnam,216994,96462110,2250.0
21,South Africa,210304,58558270,3591.0
22,Thailand,185852,69625580,2669.0
23,Egypt,150579,100388070,1500.0
24,Ukraine,128806,44385150,2902.0
25,Poland,152573,37970870,4018.0
26,Malaysia,147209,31949780,4608.0
27,Sweden,131798,10285450,13085.0
28,Norway,131931,5455582,24182.0
29,Argentina,125030,44938710,2782.0
30,Netherlands,110682,17332850,6386.0
31,United Arab Emirates,119455,9770530,12226.0
32,Philippines,93354,108116620,863.0
33,Kazakhstan,91668,18513930,4951.0
34,Pakistan,90000,216565320,557.0
35,Finland,84207,5520310,15254.0
36,Belgium,82051,11484060,7145.0
37,Venezuela,64660,28515830,2268.0
38,Austria,66849,8877070,7530.0
39,Chile,74992,18952040,3957.0
40,Czech Republic,63920,10669710,5991.0
41,Colombia,70203,50339440,1395.0
42,Israel,56391,9053300,6229.0
43,Switzerland,56353,8574830,6572.0
44,Bangladesh,70594,163046160,433.0
45,Kuwait,59278,4207080,14090.0
46,Greece,53635,10716320,5005.0
47,Algeria,62062,43053050,1442.0
48,Romania,55008,19356540,2842.0
49,Uzbekistan,49204,33580650,1465.0
50,Singapore,47583,5703570,8343.0
51,Portugal,48035,10269420,4677.0
52,Hong Kong,44730,7507400,5958.0
53,Iraq,43971,39309780,1119.0
54,New Zealand,41165,4917000,8372.0
55,Hungary,41621,9769950,4260.0
56,Peru,47409,32510450,1458.0
57,Qatar,43375,2832070,15316.0
58,Belarus,32736,9466860,3458.0
59,Denmark,32703,5818550,5620.0
60,Bulgaria,33134,6975760,4750.0
61,Morocco,29678,36471770,814.0
62,Slovakia,26237,5454070,4810.0
63,Serbia,30292,6944980,4362.0
64,Bahrain,27447,1641170,16724.0
65,Ireland,27203,4941440,5505.0
66,Oman,31766,4974990,6385.0
67,Nigeria,29011,200963600,144.0
68,Ecuador,24605,17373660,1416.0
69,Azerbaijan,20286,10023320,2024.0
70,Puerto Rico,15466,3193690,4843.0
71,Iceland,18679,361310,51699.0
72,Syria,14263,17070130,836.0
73,Croatia,17475,4067500,4296.0
74,Jordan,17384,10101690,1721.0
75,Lebanon,17708,6855710,2583.0
76,Dominican Republic,16067,10738960,1496.0
77,Tunisia,15838,11694720,1354.0
78,Cuba,16341,11333480,1442.0
79,"Korea, North",12708,25666160,495.0
80,Slovenia,14023,2087950,6716.0
81,Turkmenistan,15090,5942090,2540.0
82,Tajikistan,16085,9321020,1726.0
83,Mozambique,13390,30366040,441.0
84,Kyrgyzstan,11740,6456900,1818.0
85,Sri Lanka,13438,21803000,616.0
86,Zambia,13097,17861030,733.0
87,Bosnia and Herzegovina,12253,3301000,3712.0
88,Myanmar,18024,54045420,333.0
89,Uruguay,11812,3461730,3412.0
90,Lithuania,11306,2786840,4057.0
91,Sudan,11463,42813240,268.0
92,Georgia,12179,3720380,3274.0
93,Paraguay,13097,7044640,1859.0
94,Libya,25693,6777450,3791.0
95,"Congo, Democratic Republic of the",8594,86790570,99.0
96,Costa Rica,10065,5047560,1994.0
97,Ghana,8842,30417860,291.0
98,Trinidad and Tobago,8246,1394970,5911.0
99,Guatemala,10570,16604030,637.0
100,Estonia,8858,1326590,6677.0
101,Angola,10364,31825290,326.0
