siec,geo,TIME_PERIOD,OBS_VALUE
Nuclear Heat,Belgium,1990,42722
Nuclear Heat,Belgium,1991,42861
Nuclear Heat,Belgium,1992,43456
Nuclear Heat,Belgium,1993,41927
Nuclear Heat,Belgium,1994,40624
Nuclear Heat,Belgium,1995,41356
Nuclear Heat,Belgium,1996,43336
Nuclear Heat,Belgium,1997,47408
Nuclear Heat,Belgium,1998,46165
Nuclear Heat,Belgium,1999,49017
Nuclear Heat,Belgium,2000,48157
Nuclear Heat,Belgium,2001,46349
Nuclear Heat,Belgium,2002,47360
Nuclear Heat,Belgium,2003,47379
Nuclear Heat,Belgium,2004,47312
Nuclear Heat,Belgium,2005,47595
Nuclear Heat,Belgium,2006,46645
Nuclear Heat,Belgium,2007,48227
Nuclear Heat,Belgium,2008,45568
Nuclear Heat,Belgium,2009,47222
Nuclear Heat,Belgium,2010,47944
Nuclear Heat,Belgium,2011,48234
Nuclear Heat,Belgium,2012,40295
Nuclear Heat,Belgium,2013,42644
Nuclear Heat,Belgium,2014,33703
Nuclear Heat,Belgium,2015,26103
Nuclear Heat,Belgium,2016,43523
Nuclear Heat,Belgium,2017,42226.8
Nuclear Heat,Belgium,2018,28597
Nuclear Heat,Belgium,2019,43523.6
Nuclear Heat,Belgium,2020,34434.7
Nuclear Heat,Belgium,2021,50326.2
TOTAL,Belgium,1990,70923
TOTAL,Belgium,1991,71936
TOTAL,Belgium,1992,72225
TOTAL,Belgium,1993,70834
TOTAL,Belgium,1994,72179
TOTAL,Belgium,1995,74408
TOTAL,Belgium,1996,76099
TOTAL,Belgium,1997,78833
TOTAL,Belgium,1998,83183
TOTAL,Belgium,1999,84514
TOTAL,Belgium,2000,84012
TOTAL,Belgium,2001,79821
TOTAL,Belgium,2002,82069
TOTAL,Belgium,2003,84630
TOTAL,Belgium,2004,84204.581
TOTAL,Belgium,2005,85405.964
TOTAL,Belgium,2006,84324.785
TOTAL,Belgium,2007,87849.768
TOTAL,Belgium,2008,84143.449
TOTAL,Belgium,2009,91091.317
TOTAL,Belgium,2010,94315.7
TOTAL,Belgium,2011,90294.2
TOTAL,Belgium,2012,82745
TOTAL,Belgium,2013,83071.6
TOTAL,Belgium,2014,72118.7
TOTAL,Belgium,2015,69239.1
TOTAL,Belgium,2016,85085.4
TOTAL,Belgium,2017,86067.9
TOTAL,Belgium,2018,74552.6
TOTAL,Belgium,2019,93210
TOTAL,Belgium,2020,88957.2
TOTAL,Belgium,2021,99958.8
Ratio,Belgium,1990,0.602371586
Ratio,Belgium,1991,0.595821286
Ratio,Belgium,1992,0.60167532
Ratio,Belgium,1993,0.591905017
Ratio,Belgium,1994,0.562822982
Ratio,Belgium,1995,0.555800452
Ratio,Belgium,1996,0.569468718
Ratio,Belgium,1997,0.601372522
Ratio,Belgium,1998,0.554981186
Ratio,Belgium,1999,0.579986748
Ratio,Belgium,2000,0.573215731
Ratio,Belgium,2001,0.580661731
Ratio,Belgium,2002,0.577075388
Ratio,Belgium,2003,0.559836937
Ratio,Belgium,2004,0.561869668
Ratio,Belgium,2005,0.557279583
Ratio,Belgium,2006,0.553158837
Ratio,Belgium,2007,0.548971285
