geo,TIME_PERIOD,Energy Consumption per Capita,% of Renewable Energy in Total Consumption
AL,2019,30289,38.042
AT,2019,123093,33.755
BE,2019,118061,9.929
BG,2019,58561,21.546
CY,2019,76393,13.777
CZ,2019,94961,16.239
DE,2019,100994,17.266
DK,2019,97655,37.02
EE,2019,89039,31.73
EL,2019,60263,19.633
ES,2019,72055,17.852
FI,2019,186827,42.723
FR,2019,86604,17.174
HR,2019,69582,28.466
HU,2019,77175,12.634
IE,2019,94865,11.979
IS,2019,335263,78.612
IT,2019,79666,18.181
LT,2019,81758,25.475
LU,2019,251492,7.046
LV,2019,86539,40.929
ME,2019,51256,37.722
MK,2019,38829,17.485
MT,2019,44485,8.23
NL,2019,107260,8.886
NO,2019,147154,74.406
PL,2019,76375,15.377
PT,2019,66498,30.623
RO,2019,51554,24.29
RS,2019,50740,21.443
SE,2019,126620,55.785
SI,2019,96809,21.968
SK,2019,78603,16.894
