LAST UPDATE,nrg_bal,geo,TIME_PERIOD,pc of renewable energy in elec usage,Price of kwh elec for medium sized hh,change in renen usage over 10 years,change in elec price over 10 years
19/04/2022 23:00,REN_ELC,Albania,2004,69.979,,,
19/04/2022 23:00,REN_ELC,Albania,2005,76.112,,,
19/04/2022 23:00,REN_ELC,Albania,2006,74.208,,,
19/04/2022 23:00,REN_ELC,Albania,2007,79.632,,,
19/04/2022 23:00,REN_ELC,Albania,2008,73.299,,,
19/04/2022 23:00,REN_ELC,Albania,2009,70.714,,,
19/04/2022 23:00,REN_ELC,Albania,2010,74.618,,,
19/04/2022 23:00,REN_ELC,Albania,2011,66.131,0.1152,,
19/04/2022 23:00,REN_ELC,Albania,2012,72.427,0.1163,,
19/04/2022 23:00,REN_ELC,Albania,2013,62.665,0.1156,,
19/04/2022 23:00,REN_ELC,Albania,2014,70.985,0.1156,,
19/04/2022 23:00,REN_ELC,Albania,2015,79.222,0.0812,,
19/04/2022 23:00,REN_ELC,Albania,2016,82.104,0.0824,,
19/04/2022 23:00,REN_ELC,Albania,2017,91.025,0.0844,,
19/04/2022 23:00,REN_ELC,Albania,2018,92.45,,,
19/04/2022 23:00,REN_ELC,Albania,2019,92.994,0.092,,
19/04/2022 23:00,REN_ELC,Albania,2020,99.975,0.0922,-51.17720887,19.96527778
19/04/2022 23:00,REN_ELC,Austria,2004,61.627,,,
19/04/2022 23:00,REN_ELC,Austria,2005,62.901,,,
19/04/2022 23:00,REN_ELC,Austria,2006,63.527,,,
19/04/2022 23:00,REN_ELC,Austria,2007,65.666,,,
19/04/2022 23:00,REN_ELC,Austria,2008,65.88,,,
19/04/2022 23:00,REN_ELC,Austria,2009,68.626,,,
19/04/2022 23:00,REN_ELC,Austria,2010,66.361,0.1967,,
19/04/2022 23:00,REN_ELC,Austria,2011,66.779,0.1986,,
19/04/2022 23:00,REN_ELC,Austria,2012,67.439,0.1975,,
19/04/2022 23:00,REN_ELC,Austria,2013,68.909,0.2082,,
19/04/2022 23:00,REN_ELC,Austria,2014,71.059,0.2021,,
19/04/2022 23:00,REN_ELC,Austria,2015,71.487,0.2009,,
19/04/2022 23:00,REN_ELC,Austria,2016,72.521,0.2034,,
19/04/2022 23:00,REN_ELC,Austria,2017,71.626,0.195,,
19/04/2022 23:00,REN_ELC,Austria,2018,74.189,0.1966,,
19/04/2022 23:00,REN_ELC,Austria,2019,75.067,0.2034,,
19/04/2022 23:00,REN_ELC,Austria,2020,78.204,0.2111,17.8463254,7.320793086
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2004,40.38,,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2005,40.415,,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2006,39.997,,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2007,40.609,,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2008,35.761,,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2009,38.853,,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2010,40.576,0.0741,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2011,38.817,0.0745,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2012,36.857,0.0798,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2013,39.149,0.0803,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2014,40.88,0.0791,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2015,41.049,0.0812,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2016,40.829,0.0831,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2017,39.564,0.0859,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2018,41.498,0.0864,,
19/04/2022 23:00,REN_ELC,Bosnia and Herzegovina,2019,45.482,0.0873,12.09089117,17.81376518
19/04/2022 23:00,REN_ELC,Belgium,2004,1.714,,,
19/04/2022 23:00,REN_ELC,Belgium,2005,2.386,,,
19/04/2022 23:00,REN_ELC,Belgium,2006,3.13,,,
19/04/2022 23:00,REN_ELC,Belgium,2007,3.662,,,
19/04/2022 23:00,REN_ELC,Belgium,2008,4.625,,,
19/04/2022 23:00,REN_ELC,Belgium,2009,6.176,,,
19/04/2022 23:00,REN_ELC,Belgium,2010,7.332,0.1959,,
19/04/2022 23:00,REN_ELC,Belgium,2011,8.989,0.2136,,
19/04/2022 23:00,REN_ELC,Belgium,2012,11.338,0.2327,,
19/04/2022 23:00,REN_ELC,Belgium,2013,12.547,0.2173,,
19/04/2022 23:00,REN_ELC,Belgium,2014,13.414,0.2097,,
19/04/2022 23:00,REN_ELC,Belgium,2015,15.573,0.2126,,
19/04/2022 23:00,REN_ELC,Belgium,2016,15.834,0.2544,,
19/04/2022 23:00,REN_ELC,Belgium,2017,17.214,0.2857,,
19/04/2022 23:00,REN_ELC,Belgium,2018,18.886,0.2824,,
19/04/2022 23:00,REN_ELC,Belgium,2019,20.817,0.2839,,
19/04/2022 23:00,REN_ELC,Belgium,2020,25.122,0.2792,242.6350245,42.52169474
19/04/2022 23:00,REN_ELC,Bulgaria,2004,8.358,,,
19/04/2022 23:00,REN_ELC,Bulgaria,2005,8.666,,,
19/04/2022 23:00,REN_ELC,Bulgaria,2006,8.73,,,
19/04/2022 23:00,REN_ELC,Bulgaria,2007,8.899,,,
19/04/2022 23:00,REN_ELC,Bulgaria,2008,9.544,,,
19/04/2022 23:00,REN_ELC,Bulgaria,2009,10.906,,,
19/04/2022 23:00,REN_ELC,Bulgaria,2010,12.358,0.0813,,
19/04/2022 23:00,REN_ELC,Bulgaria,2011,12.621,0.0826,,
19/04/2022 23:00,REN_ELC,Bulgaria,2012,15.816,0.0846,,
19/04/2022 23:00,REN_ELC,Bulgaria,2013,18.682,0.0924,,
19/04/2022 23:00,REN_ELC,Bulgaria,2014,18.686,0.0832,,
19/04/2022 23:00,REN_ELC,Bulgaria,2015,18.975,0.0942,,
19/04/2022 23:00,REN_ELC,Bulgaria,2016,19.147,0.0956,,
19/04/2022 23:00,REN_ELC,Bulgaria,2017,19.022,0.0955,,
19/04/2022 23:00,REN_ELC,Bulgaria,2018,22.355,0.0979,,
19/04/2022 23:00,REN_ELC,Bulgaria,2019,23.509,0.0997,,
19/04/2022 23:00,REN_ELC,Bulgaria,2020,23.586,0.0997,90.85612559,22.63222632
19/04/2022 23:00,REN_ELC,Cyprus,2004,0.019,,,
19/04/2022 23:00,REN_ELC,Cyprus,2005,0.024,,,
19/04/2022 23:00,REN_ELC,Cyprus,2006,0.034,,,
19/04/2022 23:00,REN_ELC,Cyprus,2007,0.074,,,
19/04/2022 23:00,REN_ELC,Cyprus,2008,0.285,,,
19/04/2022 23:00,REN_ELC,Cyprus,2009,0.589,,,
19/04/2022 23:00,REN_ELC,Cyprus,2010,1.39,0.1858,,
19/04/2022 23:00,REN_ELC,Cyprus,2011,3.446,0.205,,
19/04/2022 23:00,REN_ELC,Cyprus,2012,4.927,0.2781,,
19/04/2022 23:00,REN_ELC,Cyprus,2013,6.654,0.276,,
19/04/2022 23:00,REN_ELC,Cyprus,2014,7.399,0.2291,,
19/04/2022 23:00,REN_ELC,Cyprus,2015,8.446,0.1957,,
19/04/2022 23:00,REN_ELC,Cyprus,2016,8.587,0.1527,,
19/04/2022 23:00,REN_ELC,Cyprus,2017,8.911,0.1863,,
19/04/2022 23:00,REN_ELC,Cyprus,2018,9.357,0.1893,,
19/04/2022 23:00,REN_ELC,Cyprus,2019,9.756,0.2203,,
19/04/2022 23:00,REN_ELC,Cyprus,2020,12.041,0.2133,88.4561083,12.89263947
19/04/2022 23:00,REN_ELC,Czechia,2004,3.693,,,
19/04/2022 23:00,REN_ELC,Czechia,2005,3.782,,,
