Ward Code 1,Ward Name 1,All Ages
E05000026,Abbey,"16,149"
E05000027,Alibon,"10,907"
E05000028,Becontree,"15,182"
E05000029,Chadwell Heath,"11,463"
E05000030,Eastbrook,"11,557"
E05000031,Eastbury,"12,962"
E05000032,Gascoigne,"12,310"
E05000033,Goresbrook,"12,190"
E05000034,Heath,"12,109"
E05000035,Longbridge,"12,945"
E05000036,Mayesbrook,"11,192"
E05000037,Parsloes,"11,236"
E05000038,River,"12,160"
E05000039,Thames,"15,964"
E05000040,Valence,"10,979"
E05000041,Village,"11,936"
E05000042,Whalebone,"12,866"
E05000043,Brunswick Park,"16,688"
E05000044,Burnt Oak,"19,808"
E05000045,Childs Hill,"22,699"
E05000046,Colindale,"27,232"
E05000047,Coppetts,"18,850"
E05000048,East Barnet,"17,480"
E05000049,East Finchley,"17,572"
E05000050,Edgware,"19,013"
E05000051,Finchley Church End,"17,842"
E05000052,Garden Suburb,"16,915"
E05000053,Golders Green,"21,520"
E05000054,Hale,"18,763"
E05000055,Hendon,"19,613"
E05000056,High Barnet,"16,523"
E05000057,Mill Hill,"20,735"
E05000058,Oakleigh,"17,138"
E05000059,Totteridge,"16,611"
E05000060,Underhill,"16,358"
E05000061,West Finchley,"18,370"
E05000062,West Hendon,"19,700"
E05000063,Woodhouse,"19,577"
E05000085,Alperton,"16,138"
E05000086,Barnhill,"16,023"
E05000087,Brondesbury Park,"13,035"
E05000088,Dollis Hill,"13,739"
E05000089,Dudden Hill,"15,888"
E05000090,Fryent,"13,546"
E05000091,Harlesden,"17,739"
E05000092,Kensal Green,"14,752"
E05000093,Kenton,"11,747"
E05000094,Kilburn,"16,771"
E05000095,Mapesbury,"16,489"
E05000096,Northwick Park,"13,413"
E05000097,Preston,"15,945"
E05000098,Queens Park,"14,517"
E05000099,Queensbury,"15,561"
E05000100,Stonebridge,"18,390"
E05000101,Sudbury,"15,456"
E05000102,Tokyngton,"19,275"
E05000103,Welsh Harp,"14,071"
E05000104,Wembley Central,"17,551"
E05000105,Willesden Green,"17,707"
E05000106,Bickley,"15,592"
E05000107,Biggin Hill,"9,801"
E05000108,Bromley Common and Keston,"17,080"
E05000109,Bromley Town,"20,047"
E05000110,Chelsfield and Pratts Bottom,"14,964"
E05000111,Chislehurst,"16,029"
E05000112,Clock House,"16,714"
E05000113,Copers Cope,"17,859"
E05000114,Cray Valley East,"16,921"
E05000115,Cray Valley West,"17,857"
E05000116,Crystal Palace,"14,523"
E05000117,Darwin,"5,298"
E05000118,Farnborough and Crofton,"15,203"
E05000119,Hayes and Coney Hall,"16,216"
E05000120,Kelsey and Eden Park,"16,575"
E05000121,Mottingham and Chislehurst North,"11,090"
E05000122,Orpington,"16,316"
E05000123,Penge and Cator,"19,164"
E05000124,Petts Wood and Knoll,"13,774"
E05000125,Plaistow and Sundridge,"16,309"
E05000126,Shortlands,"10,574"
E05000127,West Wickham,"14,846"
E05000128,Belsize,"15,895"
E05000129,Bloomsbury,"12,883"
E05000130,Camden Town with Primrose Hill,"14,973"
E05000131,Cantelowes,"15,304"
E05000132,Fortune Green,"14,827"
E05000133,Frognal and Fitzjohns,"16,663"
E05000134,Gospel Oak,"13,662"
E05000135,Hampstead Town,"14,410"
E05000136,Haverstock,"15,326"
E05000137,Highgate,"13,077"
E05000138,Holborn and Covent Garden,"16,474"
E05000139,Kentish Town,"16,362"
E05000140,Kilburn,"15,169"
E05000141,King's Cross,"15,137"
E05000142,Regent's Park,"16,116"
E05000143,St Pancras and Somers Town,"19,745"
E05000144,Swiss Cottage,"17,337"
E05000145,West Hampstead,"16,156"
E05000170,Acton Central,"15,699"
E05000171,Cleveland,"13,857"
E05000172,Dormers Wells,"13,606"
E05000173,Ealing Broadway,"14,796"
E05000174,Ealing Common,"13,474"
E05000175,East Acton,"22,372"
E05000176,Elthorne,"14,377"
E05000177,Greenford Broadway,"17,629"
E05000178,Greenford Green,"13,809"
E05000179,Hanger Hill,"16,188"
E05000180,Hobbayne,"13,366"
E05000181,Lady Margaret,"12,768"
E05000182,Northfield,"12,841"
E05000183,North Greenford,"14,397"
E05000184,Northolt Mandeville,"15,116"
E05000185,Northolt West End,"15,098"
E05000186,Norwood Green,"13,859"
E05000187,Perivale,"15,725"
E05000188,South Acton,"14,787"
E05000189,Southall Broadway,"14,154"
E05000190,Southall Green,"16,243"
E05000191,Southfield,"13,720"
E05000192,Walpole,"12,460"
E05000193,Bowes,"15,706"
E05000194,Bush Hill Park,"14,330"
E05000195,Chase,"13,947"
E05000196,Cockfosters,"14,274"
E05000197,Edmonton Green,"19,407"
E05000198,Enfield Highway,"17,159"
E05000199,Enfield Lock,"18,508"
E05000200,Grange,"13,548"
E05000201,Haselbury,"17,598"
E05000202,Highlands,"13,359"
E05000203,Jubilee,"15,406"
E05000204,Lower Edmonton,"17,905"
E05000205,Palmers Green,"15,895"
E05000206,Ponders End,"15,593"
E05000207,Southbury,"15,654"
E05000208,Southgate,"16,168"
E05000209,Southgate Green,"14,521"
E05000210,Town,"15,095"
E05000211,Turkey Street,"15,677"
E05000212,Upper Edmonton,"20,092"
E05000213,Winchmore Hill,"13,745"
E05000214,Abbey Wood,"16,906"
E05000215,Blackheath Westcombe,"13,121"
E05000216,Charlton,"15,241"
E05000217,Coldharbour and New Eltham,"13,467"
E05000218,Eltham North,"13,032"
E05000219,Eltham South,"12,980"
E05000220,Eltham West,"12,488"
E05000221,Glyndon,"19,369"
E05000222,Greenwich West,"22,424"
E05000223,Kidbrooke with Hornfair,"14,942"
E05000224,Middle Park and Sutcliffe,"14,689"
E05000225,Peninsula,"22,912"
E05000226,Plumstead,"17,926"
E05000227,Shooters Hill,"13,992"
E05000228,Thamesmead Moorings,"23,365"
E05000229,Woolwich Common,"18,660"
